DATETIME,Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
"2021-03-31 07:05:57",20.0625,3177.39,0,0,0,1.10319,0.0924847,6,1,0
"2021-03-31 07:05:58",20.0625,3178.56,0,0,0,1.07779,0.134554,6,1,0
"2021-03-31 07:05:59",20.0625,3194.95,0,0,0,0.578948,0.0888605,6,1,0
"2021-03-31 07:06:01",20.0625,3183.25,0,0,0,0.528254,0.0997379,6,1,0
"2021-03-31 07:06:02",20.0625,3185.98,0,0,0,0.840945,0.180071,6,1,0
"2021-03-31 07:06:03",20.0625,3187.93,0,0,0,0.93684,0.222969,6,1,0
"2021-03-31 07:06:04",20.0625,3179.74,0,0,0,0.917096,0.112806,6,1,0
"2021-03-31 07:06:07",20.0625,3179.74,0,0,0,0.748233,0.0107505,6,1,0
"2021-03-31 07:06:09",20.0625,3192.61,0,0,0,0.926509,0.140677,6,1,0
"2021-03-31 07:06:10",20.0625,3196.12,0,0,0,0.983553,0.20149,6,1,0
"2021-03-31 07:06:11",20.0625,3182.08,0,0,0,0.55925,0.116728,6,1,0
